,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
2008,DP 28,1.26,-17,-1.0435822,0.42305753,sc0412
2009,DP 29,1.28,-17,-1.0306444,0.41863141,sc0412
2010,DP 30,1.3,-17,-1.0178489,0.4143334,sc0412
2011,DP 31,1.32,-17,-1.0063485,0.41042243,sc0412
2012,DP 32,1.34,-17,-0.9967419,0.40712792,sc0412
2013,DP 33,1.36,-17,-0.98895862,0.40453435,sc0412
2014,DP 34,1.38,-17,-0.98128288,0.40209159,sc0412
2015,DP 35,1.4,-17,-0.97176649,0.39912458,sc0412
2016,DP 0,0.7,-1,0.10122945,0.02857544,sc0412
2017,DP 1,0.72,-1,0.099417322,0.029487465,sc0412
2018,DP 2,0.74,-1,0.097176206,0.030595671,sc0412
2019,DP 3,0.76,-1,0.094249669,0.032000767,sc0412
2020,DP 4,0.78,-1,0.089954277,0.03392714,sc0412
2021,DP 5,0.8,-1,0.082709486,0.037210921,sc0412
2022,DP 6,0.82,-1,0.074993515,0.044248238,sc0412
2023,DP 7,0.84,-1,0.077679663,0.056651094,sc0412
2024,DP 8,0.86,-1,0.076875952,0.073164351,sc0412
2025,DP 9,0.88,-1,0.045078179,0.091807871,sc0412
2026,DP 10,0.9,-1,-0.0073346619,0.11094774,sc0412
2027,DP 11,0.92,-1,-0.057695829,0.12850181,sc0412
2028,DP 12,0.94,-1,-0.091991251,0.13690206,sc0412
2029,DP 13,0.96,-1,-0.093300293,0.13572456,sc0412
2030,DP 14,0.98,-1,-0.091038266,0.13385342,sc0412
2031,DP 15,1,-1,-0.088946671,0.13204967,sc0412
2032,DP 16,1.02,-1,-0.086921575,0.13036592,sc0412
2033,DP 17,1.04,-1,-0.085049488,0.1287719,sc0412
2034,DP 18,1.06,-1,-0.083279559,0.12726572,sc0412
2035,DP 19,1.08,-1,-0.081560631,0.12584835,sc0412
2036,DP 20,1.1,-1,-0.079870531,0.12453955,sc0412
2037,DP 21,1.12,-1,-0.078174805,0.12334702,sc0412
2038,DP 22,1.14,-1,-0.076305334,0.12220584,sc0412
2039,DP 23,1.16,-1,-0.074253759,0.12113293,sc0412
2040,DP 24,1.18,-1,-0.07208192,0.12012051,sc0412
2041,DP 25,1.2,-1,-0.070037339,0.11908064,sc0412
2042,DP 26,1.22,-1,-0.068276269,0.11787307,sc0412
2043,DP 27,1.24,-1,-0.066962304,0.11664355,sc0412
2044,DP 28,1.26,-1,-0.066302523,0.115953,sc0412
2045,DP 29,1.28,-1,-0.065946564,0.11590691,sc0412
2046,DP 30,1.3,-1,-0.064581972,0.11606916,sc0412
2047,DP 31,1.32,-1,-0.062839018,0.11603645,sc0412
2048,DP 32,1.34,-1,-0.061361961,0.11582155,sc0412
2049,DP 33,1.36,-1,-0.060104769,0.11554444,sc0412
2050,DP 34,1.38,-1,-0.058940433,0.11528047,sc0412
2051,DP 35,1.4,-1,-0.057794512,0.11503836,sc0412
2052,DP 0,0.7,5,0.96596324,0.088318248,sc0412
2053,DP 1,0.72,5,1.0008715,0.097405267,sc0412
2054,DP 2,0.74,5,1.0164381,0.10750013,sc0412
2055,DP 3,0.76,5,1.0128903,0.11741616,sc0412
2056,DP 4,0.78,5,0.9983621,0.12702297,sc0412
2057,DP 5,0.8,5,0.98044477,0.13686132,sc0412
2058,DP 6,0.82,5,0.97240669,0.14867489,sc0412
2059,DP 7,0.84,5,0.97690831,0.1631184,sc0412
2060,DP 8,0.86,5,0.94263413,0.17182537,sc0412
2061,DP 9,0.88,5,0.84747814,0.17214297,sc0412
2062,DP 10,0.9,5,0.73143131,0.17273276,sc0412
2063,DP 11,0.92,5,0.61304272,0.17554876,sc0412
2064,DP 12,0.94,5,0.52009758,0.17704354,sc0412
2065,DP 13,0.96,5,0.48716541,0.17427119,sc0412
2066,DP 14,0.98,5,0.46997126,0.17126452,sc0412
2067,DP 15,1,5,0.45619139,0.16850531,sc0412
2068,DP 16,1.02,5,0.44460708,0.16600331,sc0412
2069,DP 17,1.04,5,0.43453352,0.16369321,sc0412
2070,DP 18,1.06,5,0.42569407,0.16155314,sc0412
2071,DP 19,1.08,5,0.41800069,0.15958524,sc0412
2072,DP 20,1.1,5,0.41136069,0.15779914,sc0412
2073,DP 21,1.12,5,0.40550063,0.15617875,sc0412
2074,DP 22,1.14,5,0.40004015,0.15463966,sc0412
2075,DP 23,1.16,5,0.39479044,0.15318558,sc0412
2076,DP 24,1.18,5,0.38986691,0.15185235,sc0412
2077,DP 25,1.2,5,0.38533866,0.15050826,sc0412
2078,DP 26,1.22,5,0.38073831,0.14908368,sc0412
2079,DP 27,1.24,5,0.37618861,0.14762025,sc0412
2080,DP 28,1.26,5,0.37239183,0.14646017,sc0412
2081,DP 29,1.28,5,0.36789234,0.14585195,sc0412
2082,DP 30,1.3,5,0.35799661,0.14507205,sc0412
2083,DP 31,1.32,5,0.34543312,0.14411216,sc0412
2084,DP 32,1.34,5,0.33362028,0.14318119,sc0412
2085,DP 33,1.36,5,0.32373468,0.14226363,sc0412
2086,DP 34,1.38,5,0.31532657,0.14135612,sc0412
2087,DP 35,1.4,5,0.30760737,0.14045306,sc0412
2088,DP 0,0.7,12,0.82254531,0.20513881,sc0412
2089,DP 1,0.72,12,0.82910886,0.20852681,sc0412
2090,DP 2,0.74,12,0.83923459,0.21246004,sc0412
2091,DP 3,0.76,12,0.85556144,0.21743738,sc0412
2092,DP 4,0.78,12,0.88628822,0.22482192,sc0412
2093,DP 5,0.8,12,0.9328231,0.23639756,sc0412
2094,DP 6,0.82,12,0.99985475,0.25458104,sc0412
2095,DP 7,0.84,12,1.0725319,0.27755404,sc0412
2096,DP 8,0.86,12,1.1856816,0.31598322,sc0412
2097,DP 9,0.88,12,1.4151148,0.39704455,sc0412
2098,DP 10,0.9,12,1.3235608,0.38343424,sc0412
2099,DP 11,0.92,12,1.237503,0.36849355,sc0412
2100,DP 12,0.94,12,1.176983,0.35664588,sc0412
2101,DP 13,0.96,12,1.1319994,0.3471932,sc0412
2102,DP 14,0.98,12,1.0940408,0.33906609,sc0412
2103,DP 15,1,12,1.0611057,0.33193444,sc0412
2104,DP 16,1.02,12,1.0318661,0.32561176,sc0412
2105,DP 17,1.04,12,1.0054369,0.31993019,sc0412
2106,DP 18,1.06,12,0.98156507,0.31474615,sc0412
2107,DP 19,1.08,12,0.96025685,0.31000887,sc0412
2108,DP 20,1.1,12,0.9414874,0.30566748,sc0412
2109,DP 21,1.12,12,0.92499506,0.30168243,sc0412
2110,DP 22,1.14,12,0.91048687,0.29810915,sc0412
2111,DP 23,1.16,12,0.89737375,0.29498101,sc0412
2112,DP 24,1.18,12,0.88507906,0.29195242,sc0412
2113,DP 25,1.2,12,0.87242042,0.28900352,sc0412
2114,DP 26,1.22,12,0.85908667,0.28611392,sc0412
2115,DP 27,1.24,12,0.84575704,0.28323457,sc0412
2116,DP 28,1.26,12,0.83316045,0.28043823,sc0412
2117,DP 29,1.28,12,0.82286331,0.27803479,sc0412
2118,DP 30,1.3,12,0.8147444,0.27615859,sc0412
2119,DP 31,1.32,12,0.80514985,0.27433164,sc0412
2120,DP 32,1.34,12,0.79242339,0.27209121,sc0412
2121,DP 33,1.36,12,0.77598886,0.26913747,sc0412
2122,DP 34,1.38,12,0.75612957,0.26564009,sc0412
2123,DP 35,1.4,12,0.73476061,0.26203973,sc0412
2124,DP 0,0.7,-3,-0.22970896,0.036298691,sc0412
2125,DP 1,0.72,-3,-0.24343865,0.038033928,sc0412
2126,DP 2,0.74,-3,-0.26187225,0.040407237,sc0412
2127,DP 3,0.76,-3,-0.28798237,0.044518239,sc0412
2128,DP 4,0.78,-3,-0.31524929,0.052013543,sc0412
2129,DP 5,0.8,-3,-0.32992519,0.061754656,sc0412
2130,DP 6,0.82,-3,-0.3239643,0.071348758,sc0412
2131,DP 7,0.84,-3,-0.29205507,0.080277729,sc0412
2132,DP 8,0.86,-3,-0.22816332,0.090611533,sc0412
2133,DP 9,0.88,-3,-0.19026115,0.10641803,sc0412
2134,DP 10,0.9,-3,-0.2370904,0.12708201,sc0412
2135,DP 11,0.92,-3,-0.28271457,0.14525116,sc0412
2136,DP 12,0.94,-3,-0.29815174,0.15149099,sc0412
2137,DP 13,0.96,-3,-0.28869392,0.14933578,sc0412
2138,DP 14,0.98,-3,-0.28010748,0.14698751,sc0412
2139,DP 15,1,-3,-0.27291351,0.14478949,sc0412
2140,DP 16,1.02,-3,-0.26658437,0.14276712,sc0412
2141,DP 17,1.04,-3,-0.26101119,0.1408838,sc0412
2142,DP 18,1.06,-3,-0.25603371,0.13912828,sc0412
2143,DP 19,1.08,-3,-0.25151124,0.13750788,sc0412
2144,DP 20,1.1,-3,-0.24726717,0.13603653,sc0412
2145,DP 21,1.12,-3,-0.24319937,0.13469953,sc0412
2146,DP 22,1.14,-3,-0.23919981,0.13341778,sc0412
2147,DP 23,1.16,-3,-0.23496579,0.13217504,sc0412
2148,DP 24,1.18,-3,-0.23061397,0.1309954,sc0412
2149,DP 25,1.2,-3,-0.22685894,0.12976579,sc0412
2150,DP 26,1.22,-3,-0.22400871,0.12845655,sc0412
2151,DP 27,1.24,-3,-0.22230087,0.12726987,sc0412
2152,DP 28,1.26,-3,-0.21961068,0.12647929,sc0412
2153,DP 29,1.28,-3,-0.21365444,0.12591672,sc0412
2154,DP 30,1.3,-3,-0.20587676,0.1254828,sc0412
2155,DP 31,1.32,-3,-0.19865766,0.12504895,sc0412
2156,DP 32,1.34,-3,-0.19260543,0.12448699,sc0412
2157,DP 33,1.36,-3,-0.18747398,0.12386421,sc0412
2158,DP 34,1.38,-3,-0.18293307,0.12325429,sc0412
2159,DP 35,1.4,-3,-0.17875056,0.12266865,sc0412
2160,DP 0,0.7,-16,-0.66731813,0.25184986,sc0412
2161,DP 1,0.72,-16,-0.67510771,0.25621059,sc0412
2162,DP 2,0.74,-16,-0.68502969,0.26106729,sc0412
2163,DP 3,0.76,-16,-0.69769377,0.26650412,sc0412
2164,DP 4,0.78,-16,-0.7141216,0.2728171,sc0412
2165,DP 5,0.8,-16,-0.73571022,0.28026473,sc0412
2166,DP 6,0.82,-16,-0.76547496,0.28936689,sc0412
2167,DP 7,0.84,-16,-0.80666381,0.30105017,sc0412
2168,DP 8,0.86,-16,-0.87150773,0.3200984,sc0412
2169,DP 9,0.88,-16,-0.9811222,0.35572106,sc0412
2170,DP 10,0.9,-16,-1.1379731,0.41630056,sc0412
2171,DP 11,0.92,-16,-1.3262307,0.50004558,sc0412
2172,DP 12,0.94,-16,-1.2990919,0.49578205,sc0412
2173,DP 13,0.96,-16,-1.2602014,0.48327425,sc0412
2174,DP 14,0.98,-16,-1.2284303,0.47257866,sc0412
2175,DP 15,1,-16,-1.2008282,0.46308493,sc0412
2176,DP 16,1.02,-16,-1.1764469,0.45461549,sc0412
2177,DP 17,1.04,-16,-1.15421,0.4469069,sc0412
2178,DP 18,1.06,-16,-1.1339498,0.43980942,sc0412
2179,DP 19,1.08,-16,-1.1154837,0.43328446,sc0412
2180,DP 20,1.1,-16,-1.0987666,0.42730746,sc0412
2181,DP 21,1.12,-16,-1.0838191,0.42187725,sc0412
2182,DP 22,1.14,-16,-1.0706454,0.41700658,sc0412
2183,DP 23,1.16,-16,-1.0592045,0.41272285,sc0412
2184,DP 24,1.18,-16,-1.0491117,0.40899404,sc0412
2185,DP 25,1.2,-16,-1.0392015,0.40550451,sc0412
2186,DP 26,1.22,-16,-1.0279302,0.40153744,sc0412
2187,DP 27,1.24,-16,-1.0156314,0.39726426,sc0412
2188,DP 28,1.26,-16,-1.0024226,0.39294091,sc0412
2189,DP 29,1.28,-16,-0.98882773,0.38867789,sc0412
2190,DP 30,1.3,-16,-0.97567438,0.38445225,sc0412
2191,DP 31,1.32,-16,-0.96384648,0.38063254,sc0412
2192,DP 32,1.34,-16,-0.95460589,0.37763421,sc0412
2193,DP 33,1.36,-16,-0.94721788,0.37533913,sc0412
2194,DP 34,1.38,-16,-0.93867909,0.37276813,sc0412
2195,DP 35,1.4,-16,-0.92820464,0.36963651,sc0412
2196,DP 0,0.7,4,0.84603251,0.067481977,sc0412
2197,DP 1,0.72,4,0.88262178,0.073803184,sc0412
2198,DP 2,0.74,4,0.92012041,0.083219795,sc0412
2199,DP 3,0.76,4,0.93943915,0.094640429,sc0412
2200,DP 4,0.78,4,0.92901546,0.10488177,sc0412
2201,DP 5,0.8,4,0.9113954,0.11501136,sc0412
2202,DP 6,0.82,4,0.89699852,0.12603359,sc0412
2203,DP 7,0.84,4,0.87985363,0.13731842,sc0412
2204,DP 8,0.86,4,0.83292715,0.14499817,sc0412
2205,DP 9,0.88,4,0.73805052,0.14819411,sc0412
2206,DP 10,0.9,4,0.62190425,0.15240735,sc0412
2207,DP 11,0.92,4,0.50761744,0.15859827,sc0412
2208,DP 12,0.94,4,0.42350243,0.16223747,sc0412
2209,DP 13,0.96,4,0.39563844,0.16015731,sc0412
2210,DP 14,0.98,4,0.38134866,0.15759924,sc0412
2211,DP 15,1,4,0.36989601,0.15522684,sc0412
2212,DP 16,1.02,4,0.3602103,0.15304103,sc0412
2213,DP 17,1.04,4,0.35179066,0.15102106,sc0412
2214,DP 18,1.06,4,0.34428969,0.14911579,sc0412
2215,DP 19,1.08,4,0.33755219,0.14729993,sc0412
2216,DP 20,1.1,4,0.33154653,0.14558243,sc0412
2217,DP 21,1.12,4,0.32638611,0.14401999,sc0412
2218,DP 22,1.14,4,0.32187117,0.14260225,sc0412
2219,DP 23,1.16,4,0.31792393,0.14133398,sc0412
2220,DP 24,1.18,4,0.31455572,0.14020519,sc0412
2221,DP 25,1.2,4,0.31091442,0.13902252,sc0412
2222,DP 26,1.22,4,0.307518,0.13776187,sc0412
2223,DP 27,1.24,4,0.30576083,0.13660412,sc0412
2224,DP 28,1.26,4,0.30305966,0.13580595,sc0412
2225,DP 29,1.28,4,0.2965722,0.13519195,sc0412
2226,DP 30,1.3,4,0.28613237,0.13462454,sc0412
2227,DP 31,1.32,4,0.27500136,0.13406556,sc0412
2228,DP 32,1.34,4,0.26569074,0.13344326,sc0412
2229,DP 33,1.36,4,0.25833728,0.13277773,sc0412
2230,DP 34,1.38,4,0.25214352,0.13208042,sc0412
2231,DP 35,1.4,4,0.24647984,0.13135215,sc0412
2232,DP 0,0.7,-10,-0.59345575,0.13831567,sc0412
2233,DP 1,0.72,-10,-0.60328577,0.14277133,sc0412
2234,DP 2,0.74,-10,-0.61429162,0.14833732,sc0412
2235,DP 3,0.76,-10,-0.62733841,0.15507122,sc0412
2236,DP 4,0.78,-10,-0.64272787,0.16317955,sc0412
2237,DP 5,0.8,-10,-0.65297442,0.17194214,sc0412
2238,DP 6,0.82,-10,-0.66506555,0.18225644,sc0412
2239,DP 7,0.84,-10,-0.68920491,0.19619624,sc0412
2240,DP 8,0.86,-10,-0.72758697,0.21480558,sc0412
2241,DP 9,0.88,-10,-0.79481795,0.24171334,sc0412
2242,DP 10,0.9,-10,-0.91631076,0.28412503,sc0412
2243,DP 11,0.92,-10,-0.93740372,0.29833678,sc0412
2244,DP 12,0.94,-10,-0.90330325,0.29243522,sc0412
2245,DP 13,0.96,-10,-0.87475419,0.28566358,sc0412
2246,DP 14,0.98,-10,-0.85142174,0.27975501,sc0412
2247,DP 15,1,-10,-0.8313504,0.27447316,sc0412
2248,DP 16,1.02,-10,-0.81370167,0.26973524,sc0412
2249,DP 17,1.04,-10,-0.79794126,0.2654476,sc0412
2250,DP 18,1.06,-10,-0.78367267,0.26149469,sc0412
2251,DP 19,1.08,-10,-0.77092827,0.25788427,sc0412
2252,DP 20,1.1,-10,-0.75972116,0.25462045,sc0412
2253,DP 21,1.12,-10,-0.74995609,0.2516893,sc0412
2254,DP 22,1.14,-10,-0.74108663,0.24896722,sc0412
2255,DP 23,1.16,-10,-0.73197347,0.24623445,sc0412
2256,DP 24,1.18,-10,-0.72211713,0.24342258,sc0412
2257,DP 25,1.2,-10,-0.7117507,0.24067141,sc0412
2258,DP 26,1.22,-10,-0.70131458,0.23808847,sc0412
2259,DP 27,1.24,-10,-0.69136091,0.2355976,sc0412
2260,DP 28,1.26,-10,-0.68183235,0.23320818,sc0412
2261,DP 29,1.28,-10,-0.67406109,0.23124302,sc0412
2262,DP 30,1.3,-10,-0.66781529,0.22976621,sc0412
2263,DP 31,1.32,-10,-0.66049734,0.22816928,sc0412
2264,DP 32,1.34,-10,-0.64972239,0.22588164,sc0412
2265,DP 33,1.36,-10,-0.63561099,0.22308669,sc0412
2266,DP 34,1.38,-10,-0.61914631,0.22009575,sc0412
2267,DP 35,1.4,-10,-0.60202881,0.21716791,sc0412
2268,DP 0,0.7,20,0.93795107,0.37857733,sc0412
2269,DP 1,0.72,20,0.94565499,0.38281308,sc0412
2270,DP 2,0.74,20,0.95428747,0.38750889,sc0412
2271,DP 3,0.76,20,0.96391433,0.39248065,sc0412
2272,DP 4,0.78,20,0.97492684,0.39785172,sc0412
2273,DP 5,0.8,20,0.98816016,0.40376908,sc0412
2274,DP 6,0.82,20,1.0024518,0.41035178,sc0412
2275,DP 7,0.84,20,1.0197808,0.41755751,sc0412
2276,DP 8,0.86,20,1.039818,0.42596564,sc0412
2277,DP 9,0.88,20,1.0648405,0.43583541,sc0412
2278,DP 10,0.9,20,1.0977111,0.44807759,sc0412
2279,DP 11,0.92,20,1.1464297,0.46546761,sc0412
2280,DP 12,0.94,20,1.2733763,0.51277183,sc0412
2281,DP 13,0.96,20,1.57708,0.66129643,sc0412
2282,DP 14,0.98,20,1.5387348,0.64659331,sc0412
2283,DP 15,1,20,1.5055103,0.63364028,sc0412
2284,DP 16,1.02,20,1.4757433,0.62195879,sc0412
2285,DP 17,1.04,20,1.4494812,0.61169408,sc0412
2286,DP 18,1.06,20,1.4251682,0.60217052,sc0412
2287,DP 19,1.08,20,1.4033385,0.59356189,sc0412
2288,DP 20,1.1,20,1.3834511,0.58567291,sc0412
2289,DP 21,1.12,20,1.3654064,0.57843267,sc0412
2290,DP 22,1.14,20,1.3488354,0.57168634,sc0412
2291,DP 23,1.16,20,1.3333632,0.56529827,sc0412
2292,DP 24,1.18,20,1.3186825,0.55919017,sc0412
2293,DP 25,1.2,20,1.3046773,0.55339968,sc0412
2294,DP 26,1.22,20,1.291428,0.54807463,sc0412
2295,DP 27,1.24,20,1.279368,0.54298269,sc0412
2296,DP 28,1.26,20,1.2681399,0.53829776,sc0412
2297,DP 29,1.28,20,1.2567157,0.53376329,sc0412
2298,DP 30,1.3,20,1.2448707,0.52921042,sc0412
2299,DP 31,1.32,20,1.2326437,0.52468571,sc0412
2300,DP 32,1.34,20,1.2202998,0.52003835,sc0412
2301,DP 33,1.36,20,1.2087545,0.51571812,sc0412
2302,DP 34,1.38,20,1.1978844,0.51174436,sc0412
2303,DP 35,1.4,20,1.1876322,0.50818697,sc0412
2304,DP 0,0.7,19,0.92168256,0.35515793,sc0412
2305,DP 1,0.72,19,0.92936745,0.35949632,sc0412
2306,DP 2,0.74,19,0.93811506,0.36407475,sc0412
2307,DP 3,0.76,19,0.94859241,0.36898201,sc0412
2308,DP 4,0.78,19,0.96009423,0.37433559,sc0412
2309,DP 5,0.8,19,0.97342041,0.38025441,sc0412
2310,DP 6,0.82,19,0.98914383,0.3867976,sc0412
2311,DP 7,0.84,19,1.007695,0.39424394,sc0412
2312,DP 8,0.86,19,1.0306093,0.40286754,sc0412
2313,DP 9,0.88,19,1.0607241,0.41355301,sc0412
2314,DP 10,0.9,19,1.1068213,0.4290764,sc0412
2315,DP 11,0.92,19,1.2209783,0.46894088,sc0412
2316,DP 12,0.94,19,1.5863612,0.63609168,sc0412
2317,DP 13,0.96,19,1.5320326,0.61820719,sc0412
2318,DP 14,0.98,19,1.4945787,0.60444945,sc0412
2319,DP 15,1,19,1.4617718,0.59222908,sc0412
2320,DP 16,1.02,19,1.4322535,0.58116892,sc0412
2321,DP 17,1.04,19,1.4059037,0.57135306,sc0412
2322,DP 18,1.06,19,1.3818332,0.56233264,sc0412
2323,DP 19,1.08,19,1.3598655,0.55406885,sc0412
2324,DP 20,1.1,19,1.3399162,0.54650316,sc0412
2325,DP 21,1.12,19,1.3216412,0.53950095,sc0412
2326,DP 22,1.14,19,1.304796,0.53295092,sc0412
2327,DP 23,1.16,19,1.2891285,0.52678424,sc0412
2328,DP 24,1.18,19,1.2747451,0.52111921,sc0412
2329,DP 25,1.2,19,1.2622879,0.51629253,sc0412
2330,DP 26,1.22,19,1.251783,0.51219629,sc0412
2331,DP 27,1.24,19,1.2403309,0.50757235,sc0412
2332,DP 28,1.26,19,1.228269,0.50292951,sc0412
2333,DP 29,1.28,19,1.2159988,0.49839379,sc0412
2334,DP 30,1.3,19,1.2031921,0.49376915,sc0412
2335,DP 31,1.32,19,1.1895426,0.48890729,sc0412
2336,DP 32,1.34,19,1.1766493,0.48425957,sc0412
2337,DP 33,1.36,19,1.1646943,0.47999375,sc0412
2338,DP 34,1.38,19,1.1536847,0.47622435,sc0412
2339,DP 35,1.4,19,1.1424273,0.47262881,sc0412
2340,DP 0,0.7,-6,-0.62203716,0.078206869,sc0412
2341,DP 1,0.72,-6,-0.63286793,0.084126484,sc0412
2342,DP 2,0.74,-6,-0.63131356,0.090797262,sc0412
2343,DP 3,0.76,-6,-0.61758198,0.097398742,sc0412
2344,DP 4,0.78,-6,-0.5966067,0.10383539,sc0412
2345,DP 5,0.8,-6,-0.56898716,0.1101661,sc0412
2346,DP 6,0.82,-6,-0.53412703,0.11646737,sc0412
2347,DP 7,0.84,-6,-0.48780175,0.12276861,sc0412
2348,DP 8,0.86,-6,-0.4248093,0.1305046,sc0412
2349,DP 9,0.88,-6,-0.455878,0.14986764,sc0412
2350,DP 10,0.9,-6,-0.54560235,0.17760519,sc0412
2351,DP 11,0.92,-6,-0.59183002,0.19597363,sc0412
2352,DP 12,0.94,-6,-0.58135064,0.19706043,sc0412
2353,DP 13,0.96,-6,-0.56156325,0.19310742,sc0412
2354,DP 14,0.98,-6,-0.54547341,0.18950192,sc0412
2355,DP 15,1,-6,-0.5317803,0.18622729,sc0412
2356,DP 16,1.02,-6,-0.51974041,0.18326983,sc0412
2357,DP 17,1.04,-6,-0.50907897,0.18054982,sc0412
2358,DP 18,1.06,-6,-0.49951947,0.17803316,sc0412
2359,DP 19,1.08,-6,-0.49112707,0.17572705,sc0412
2360,DP 20,1.1,-6,-0.4839185,0.17363132,sc0412
2361,DP 21,1.12,-6,-0.47754887,0.1716975,sc0412
2362,DP 22,1.14,-6,-0.47088129,0.16979859,sc0412
2363,DP 23,1.16,-6,-0.46315493,0.16790244,sc0412
2364,DP 24,1.18,-6,-0.4547928,0.16612584,sc0412
2365,DP 25,1.2,-6,-0.44651171,0.1644053,sc0412
2366,DP 26,1.22,-6,-0.43900614,0.16273671,sc0412
2367,DP 27,1.24,-6,-0.43334183,0.16116688,sc0412
2368,DP 28,1.26,-6,-0.43004366,0.15997906,sc0412
2369,DP 29,1.28,-6,-0.42604835,0.15900877,sc0412
2370,DP 30,1.3,-6,-0.41792304,0.15777366,sc0412
2371,DP 31,1.32,-6,-0.40477436,0.15625723,sc0412
2372,DP 32,1.34,-6,-0.39036077,0.15486055,sc0412
2373,DP 33,1.36,-6,-0.37820425,0.15362655,sc0412
2374,DP 34,1.38,-6,-0.36835306,0.15238938,sc0412
2375,DP 35,1.4,-6,-0.35973619,0.15111273,sc0412
2376,DP 0,0.7,14,0.84076674,0.2447963,sc0412
2377,DP 1,0.72,14,0.84702596,0.24843355,sc0412
2378,DP 2,0.74,14,0.85547579,0.25228438,sc0412
2379,DP 3,0.76,14,0.86631804,0.2565842,sc0412
2380,DP 4,0.78,14,0.88084457,0.26152968,sc0412
2381,DP 5,0.8,14,0.90122877,0.26770425,sc0412
2382,DP 6,0.82,14,0.93922672,0.27721896,sc0412
2383,DP 7,0.84,14,0.99997108,0.29336068,sc0412
2384,DP 8,0.86,14,1.0943726,0.32172698,sc0412
2385,DP 9,0.88,14,1.2338856,0.37019767,sc0412
2386,DP 10,0.9,14,1.462938,0.4618872,sc0412
2387,DP 11,0.92,14,1.3788604,0.44499875,sc0412
2388,DP 12,0.94,14,1.3211094,0.43093794,sc0412
2389,DP 13,0.96,14,1.278596,0.41973727,sc0412
2390,DP 14,0.98,14,1.2426249,0.41001256,sc0412
2391,DP 15,1,14,1.2112129,0.40138326,sc0412
2392,DP 16,1.02,14,1.1832119,0.39368574,sc0412
2393,DP 17,1.04,14,1.1579031,0.38670674,sc0412
2394,DP 18,1.06,14,1.1350179,0.38033148,sc0412
2395,DP 19,1.08,14,1.1142311,0.37448661,sc0412
2396,DP 20,1.1,14,1.0954031,0.36913069,sc0412
2397,DP 21,1.12,14,1.078301,0.36422728,sc0412
2398,DP 22,1.14,14,1.0626638,0.35977406,sc0412
2399,DP 23,1.16,14,1.04825,0.35579994,sc0412
2400,DP 24,1.18,14,1.0348621,0.3522199,sc0412
2401,DP 25,1.2,14,1.0217769,0.34860248,sc0412
2402,DP 26,1.22,14,1.007795,0.34488013,sc0412
2403,DP 27,1.24,14,0.99289497,0.34117882,sc0412
2404,DP 28,1.26,14,0.97722233,0.33747482,sc0412
2405,DP 29,1.28,14,0.96123906,0.33376498,sc0412
2406,DP 30,1.3,14,0.94659924,0.33045226,sc0412
2407,DP 31,1.32,14,0.93337363,0.32778883,sc0412
2408,DP 32,1.34,14,0.91968417,0.32527846,sc0412
2409,DP 33,1.36,14,0.90326042,0.32222322,sc0412
2410,DP 34,1.38,14,0.88395922,0.31857419,sc0412
2411,DP 35,1.4,14,0.86169567,0.31439689,sc0412
2412,DP 0,0.7,9,0.85098393,0.14866976,sc0412
2413,DP 1,0.72,9,0.87415829,0.15496774,sc0412
2414,DP 2,0.74,9,0.89842002,0.16265876,sc0412
2415,DP 3,0.76,9,0.92469369,0.17184088,sc0412
2416,DP 4,0.78,9,0.95485107,0.18289688,sc0412
2417,DP 5,0.8,9,0.98252103,0.1950135,sc0412
2418,DP 6,0.82,9,1.0121009,0.20920054,sc0412
2419,DP 7,0.84,9,1.0520692,0.22783738,sc0412
2420,DP 8,0.86,9,1.2304559,0.28200405,sc0412
2421,DP 9,0.88,9,1.2041995,0.28973136,sc0412
2422,DP 10,0.9,9,1.1048074,0.28016467,sc0412
2423,DP 11,0.92,9,1.0057006,0.27087129,sc0412
2424,DP 12,0.94,9,0.92075791,0.26347239,sc0412
2425,DP 13,0.96,9,0.86284188,0.25731796,sc0412
2426,DP 14,0.98,9,0.82576172,0.25198286,sc0412
2427,DP 15,1,9,0.79882028,0.247264,sc0412
2428,DP 16,1.02,9,0.77708615,0.24304385,sc0412
2429,DP 17,1.04,9,0.75887512,0.2392388,sc0412
2430,DP 18,1.06,9,0.74313467,0.23575447,sc0412
2431,DP 19,1.08,9,0.72937762,0.23257207,sc0412
2432,DP 20,1.1,9,0.71727061,0.22969863,sc0412
2433,DP 21,1.12,9,0.70647216,0.22715091,sc0412
2434,DP 22,1.14,9,0.69654958,0.22487776,sc0412
2435,DP 23,1.16,9,0.68692286,0.22265487,sc0412
2436,DP 24,1.18,9,0.67711075,0.22042109,sc0412
2437,DP 25,1.2,9,0.66681984,0.21818177,sc0412
2438,DP 26,1.22,9,0.6562125,0.21589596,sc0412
2439,DP 27,1.24,9,0.645587,0.21352434,sc0412
2440,DP 28,1.26,9,0.63676212,0.21129504,sc0412
2441,DP 29,1.28,9,0.63050271,0.20963784,sc0412
2442,DP 30,1.3,9,0.62368361,0.20836454,sc0412
2443,DP 31,1.32,9,0.6127758,0.20673939,sc0412
2444,DP 32,1.34,9,0.59773533,0.20455472,sc0412
2445,DP 33,1.36,9,0.58034764,0.2020995,sc0412
2446,DP 34,1.38,9,0.56305255,0.19965872,sc0412
