,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
107,DP 35,1.4,-2,-0.13018227,0.12058039,c5a
108,DP 0,0.7,-9,-0.51664473,0.10644891,c5a
109,DP 1,0.72,-9,-0.52613589,0.11030253,c5a
110,DP 2,0.74,-9,-0.52868379,0.11525358,c5a
111,DP 3,0.76,-9,-0.52692156,0.1211893,c5a
112,DP 4,0.78,-9,-0.51992506,0.12803686,c5a
113,DP 5,0.8,-9,-0.50837071,0.13615281,c5a
114,DP 6,0.82,-9,-0.50414943,0.14739673,c5a
115,DP 7,0.84,-9,-0.53968893,0.16472071,c5a
116,DP 8,0.86,-9,-0.60936162,0.18852716,c5a
117,DP 9,0.88,-9,-0.70570474,0.2204547,c5a
118,DP 10,0.9,-9,-0.81455701,0.25657665,c5a
119,DP 11,0.92,-9,-0.84366977,0.2709155,c5a
120,DP 12,0.94,-9,-0.81396901,0.26587219,c5a
121,DP 13,0.96,-9,-0.78918729,0.26009589,c5a
122,DP 14,0.98,-9,-0.76873824,0.25499551,c5a
123,DP 15,1,-9,-0.75109986,0.25041295,c5a
124,DP 16,1.02,-9,-0.73542244,0.24627627,c5a
125,DP 17,1.04,-9,-0.72142732,0.24251998,c5a
126,DP 18,1.06,-9,-0.70881682,0.23906523,c5a
127,DP 19,1.08,-9,-0.69746211,0.23587867,c5a
128,DP 20,1.1,-9,-0.68724056,0.23292841,c5a
129,DP 21,1.12,-9,-0.67800944,0.23019108,c5a
130,DP 22,1.14,-9,-0.66957676,0.2276456,c5a
131,DP 23,1.16,-9,-0.66146168,0.22525906,c5a
132,DP 24,1.18,-9,-0.65257244,0.22291446,c5a
133,DP 25,1.2,-9,-0.64275497,0.22051671,c5a
134,DP 26,1.22,-9,-0.6324102,0.21812402,c5a
135,DP 27,1.24,-9,-0.6214892,0.21567177,c5a
136,DP 28,1.26,-9,-0.61199156,0.21322987,c5a
137,DP 29,1.28,-9,-0.60605693,0.21145355,c5a
138,DP 30,1.3,-9,-0.60196188,0.21038276,c5a
139,DP 31,1.32,-9,-0.59495347,0.20903777,c5a
140,DP 32,1.34,-9,-0.58427465,0.207028,c5a
141,DP 33,1.36,-9,-0.57102704,0.2046649,c5a
142,DP 34,1.38,-9,-0.55707013,0.20236754,c5a
143,DP 35,1.4,-9,-0.54382206,0.2002626,c5a
144,DP 0,0.7,-14,-0.52100111,0.19660856,c5a
145,DP 1,0.72,-14,-0.5242103,0.19972803,c5a
146,DP 2,0.74,-14,-0.52979971,0.20334735,c5a
147,DP 3,0.76,-14,-0.54024214,0.20791979,c5a
148,DP 4,0.78,-14,-0.55961711,0.21410996,c5a
149,DP 5,0.8,-14,-0.58905154,0.22264473,c5a
150,DP 6,0.82,-14,-0.63655193,0.23403127,c5a
151,DP 7,0.84,-14,-0.70209624,0.25014963,c5a
152,DP 8,0.86,-14,-0.79283921,0.27552264,c5a
153,DP 9,0.88,-14,-0.91483605,0.31588993,c5a
154,DP 10,0.9,-14,-1.101132,0.38830754,c5a
155,DP 11,0.92,-14,-1.1785623,0.42288898,c5a
156,DP 12,0.94,-14,-1.1483635,0.41691155,c5a
157,DP 13,0.96,-14,-1.1154556,0.40704206,c5a
158,DP 14,0.98,-14,-1.0878768,0.39843353,c5a
159,DP 15,1,-14,-1.0638115,0.39074842,c5a
160,DP 16,1.02,-14,-1.0419907,0.3837435,c5a
161,DP 17,1.04,-14,-1.0228856,0.37756045,c5a
162,DP 18,1.06,-14,-1.005349,0.37182394,c5a
163,DP 19,1.08,-14,-0.98943949,0.36653786,c5a
164,DP 20,1.1,-14,-0.97507585,0.36164838,c5a
165,DP 21,1.12,-14,-0.96220249,0.35712248,c5a
166,DP 22,1.14,-14,-0.95077021,0.35298391,c5a
167,DP 23,1.16,-14,-0.94066259,0.34932319,c5a
168,DP 24,1.18,-14,-0.93146904,0.34612273,c5a
169,DP 25,1.2,-14,-0.92214708,0.34291005,c5a
170,DP 26,1.22,-14,-0.91162603,0.33945721,c5a
171,DP 27,1.24,-14,-0.90040133,0.33606209,c5a
172,DP 28,1.26,-14,-0.88854863,0.33272506,c5a
173,DP 29,1.28,-14,-0.87694527,0.32930752,c5a
174,DP 30,1.3,-14,-0.86701545,0.32617835,c5a
175,DP 31,1.32,-14,-0.85976783,0.3237747,c5a
176,DP 32,1.34,-14,-0.85406107,0.32199645,c5a
177,DP 33,1.36,-14,-0.84712475,0.31998247,c5a
178,DP 34,1.38,-14,-0.8383431,0.31747127,c5a
